id,payment_method,payment_from,payment_to,amount,status,updated_at
465,UPI,155,102,367125,Failed,2022-12-06 12:40:14
466,UPI,156,186,965838,Failed,2022-12-06 12:40:14
467,UPI,156,90,85340,Failed,2022-12-06 12:40:14
468,UPI,156,197,156002,Failed,2022-12-06 12:40:14
469,UPI,157,185,504801,Failed,2022-12-06 12:40:14
470,UPI,157,72,337103,Failed,2022-12-06 12:40:14
471,UPI,157,156,76777,Failed,2022-12-06 12:40:14
472,UPI,158,177,577037,Failed,2022-12-06 12:40:14
473,UPI,158,77,852183,Failed,2022-12-06 12:40:14
474,UPI,158,161,237548,Failed,2022-12-06 12:40:14
475,UPI,159,97,24996,Failed,2022-12-06 12:40:14
476,UPI,159,184,699336,Failed,2022-12-06 12:40:14
477,UPI,159,197,596875,Failed,2022-12-06 12:40:14
478,UPI,160,131,385161,Failed,2022-12-06 12:40:14
479,UPI,160,139,488952,Failed,2022-12-06 12:40:14
480,UPI,160,193,516805,Failed,2022-12-06 12:40:14
481,UPI,161,9,740647,Failed,2022-12-06 12:40:14
482,UPI,161,2,796291,Failed,2022-12-06 12:40:14
483,UPI,161,63,317206,Failed,2022-12-06 12:40:14
484,UPI,162,113,355140,Failed,2022-12-06 12:40:14
485,UPI,162,144,158911,Failed,2022-12-06 12:40:14
486,UPI,162,122,579451,Failed,2022-12-06 12:40:14
487,UPI,163,192,54097,Failed,2022-12-06 12:40:14
488,UPI,163,172,1412,Failed,2022-12-06 12:40:14
489,UPI,163,24,697593,Failed,2022-12-06 12:40:14
490,UPI,164,39,272492,Failed,2022-12-06 12:40:14
491,UPI,164,100,978687,Failed,2022-12-06 12:40:14
492,UPI,164,94,872850,Failed,2022-12-06 12:40:14
493,UPI,165,139,484973,Failed,2022-12-06 12:40:14
494,UPI,165,87,257200,Failed,2022-12-06 12:40:14
495,UPI,165,98,148939,Failed,2022-12-06 12:40:14
496,UPI,166,179,453426,Failed,2022-12-06 12:40:14
497,UPI,166,14,157635,Failed,2022-12-06 12:40:14
498,UPI,166,137,520130,Failed,2022-12-06 12:40:14
499,UPI,167,161,164007,Failed,2022-12-06 12:40:14
500,UPI,167,105,267282,Failed,2022-12-06 12:40:14
